z_daughter,a_daughter,element_daughter,z_parent,z_parent,element_parent,daughter_level_idx,cumulative_thermal_fy,unc_ct,cumulative_fast_fy,unc_cf,cumulative_14mev_fy,unc_c14,Extraction_date
27,74,Co,94,239,Pu,0,0.000000000021907,0.0000000000093821,0.00000000010207,0.000000000043401,,,2024-08-21
27,75,Co,94,239,Pu,0,0.0000000000020848,0.00000000000087343,0.0000000000077303,0.0000000000032453,,,2024-08-21
28,61,Ni,94,239,Pu,0,0.000000000020974,0.0000000000031462,0.00000000007834,0.000000000011751,,,2024-08-21
28,62,Ni,94,239,Pu,0,0.000000000067635,0.000000000010145,0.00000000024392,0.000000000036588,,,2024-08-21
28,63,Ni,94,239,Pu,0,0.00000000020871,0.000000000031307,0.00000000073142,0.00000000010971,,,2024-08-21
28,64,Ni,94,239,Pu,0,0.00000000062359,0.000000000093538,0.0000000021251,0.00000000031875,,,2024-08-21
28,65,Ni,94,239,Pu,0,0.0000000018001,0.00000000027002,0.0000000059796,0.00000000089694,,,2024-08-21
28,66,Ni,94,239,Pu,0,0.0000000050024,0.00000000075036,0.000000016292,0.0000000024438,,,2024-08-21
28,67,Ni,94,239,Pu,0,0.000000013226,0.0000000019845,0.000000042765,0.0000000064149,,,2024-08-21
28,68,Ni,94,239,Pu,0,0.000000032688,0.0000000049154,0.00000010701,0.000000016058,,,2024-08-21
28,69,Ni,94,239,Pu,0,0.000000039131,0.0000000069896,0.00000014509,0.000000024987,,,2024-08-21
28,70,Ni,94,239,Pu,0,0.00000012278,0.000000021786,0.00000044434,0.000000072217,,,2024-08-21
28,71,Ni,94,239,Pu,0,0.00000013737,0.000000037395,0.00000054301,0.00000013058,,,2024-08-21
28,72,Ni,94,239,Pu,0,0.00000012202,0.000000043036,0.00000056104,0.00000018312,,,2024-08-21
28,73,Ni,94,239,Pu,0,0.000000066671,0.000000027006,0.00000028335,0.000000112,,,2024-08-21
28,74,Ni,94,239,Pu,0,0.000000027803,0.000000011835,0.00000011235,0.000000047273,,,2024-08-21
28,75,Ni,94,239,Pu,0,0.0000000066928,0.0000000028016,0.000000023279,0.0000000097603,,,2024-08-21
28,76,Ni,94,239,Pu,0,0.0000000012064,0.00000000049943,0.0000000035807,0.0000000014923,,,2024-08-21
28,77,Ni,94,239,Pu,0,0.00000000010766,0.000000000042179,0.00000000026082,0.00000000010993,,,2024-08-21
28,78,Ni,94,239,Pu,0,0.000000000012117,0.0000000000046825,0.000000000013557,0.0000000000056392,,,2024-08-21
29,63,Cu,94,239,Pu,0,0.00000000020871,0.000000000031307,0.00000000073142,0.00000000010971,,,2024-08-21
29,65,Cu,94,239,Pu,0,0.0000000018001,0.00000000027002,0.0000000059796,0.00000000089694,,,2024-08-21
29,66,Cu,94,239,Pu,0,0.0000000050189,0.00000000075283,0.000000016303,0.000000002445,,,2024-08-21
29,67,Cu,94,239,Pu,0,0.000000013511,0.0000000020265,0.000000043059,0.0000000064589,,,2024-08-21
29,68,Cu,94,239,Pu,0,0.000000034938,0.0000000052408,0.00000011038,0.00000001653,,,2024-08-21
29,69,Cu,94,239,Pu,0,0.000000087472,0.000000013121,0.00000027198,0.000000040797,,,2024-08-21
29,70,Cu,94,239,Pu,0,0.000000043976,0.000000010443,0.00000011229,0.000000028713,,,2024-08-21
29,71,Cu,94,239,Pu,0,0.00000042499,0.000000064828,0.0000014238,0.00000021423,,,2024-08-21
29,72,Cu,94,239,Pu,0,0.00000067096,0.00000011669,0.0000025938,0.00000040614,,,2024-08-21
29,73,Cu,94,239,Pu,0,0.0000010498,0.00000024748,0.0000040226,0.00000074836,,,2024-08-21
29,74,Cu,94,239,Pu,0,0.00000096995,0.00000033368,0.0000036819,0.0000010934,,,2024-08-21
29,75,Cu,94,239,Pu,0,0.00000080878,0.00000031382,0.0000029998,0.000001099,,,2024-08-21
29,76,Cu,94,239,Pu,0,0.00000017784,0.00000007272,0.00000060309,0.00000024632,,,2024-08-21
29,77,Cu,94,239,Pu,0,0.0000001178,0.000000046006,0.00000037738,0.00000015831,,,2024-08-21
29,78,Cu,94,239,Pu,0,0.000000034445,0.000000013304,0.000000055421,0.00000002304,,,2024-08-21
29,79,Cu,94,239,Pu,0,0.0000000039119,0.0000000016998,0.000000005743,0.0000000024037,,,2024-08-21
29,80,Cu,94,239,Pu,0,0.00000000019563,0.000000000086328,0.00000000023444,0.000000000099355,,,2024-08-21
30,66,Zn,94,239,Pu,0,0.0000000050189,0.00000000075283,0.000000016303,0.000000002445,,,2024-08-21
30,67,Zn,94,239,Pu,0,0.000000013512,0.0000000020265,0.000000043059,0.0000000064589,,,2024-08-21
30,68,Zn,94,239,Pu,0,0.000000035262,0.000000005271,0.00000011084,0.00000001653,,,2024-08-21
30,69,Zn,94,239,Pu,0,0.000000088196,0.000000013229,0.00000027248,0.000000040872,,,2024-08-21
30,70,Zn,94,239,Pu,0,0.00000021438,0.000000032157,0.00000065594,0.000000098392,,,2024-08-21
30,71,Zn,94,239,Pu,0,0.00000043944,0.000000066614,0.0000014408,0.00000021658,,,2024-08-21
30,72,Zn,94,239,Pu,0,0.0000011259,0.0000001689,0.0000034267,0.00000051401,,,2024-08-21
30,73,Zn,94,239,Pu,0,0.000002082,0.00000032633,0.0000060096,0.00000092982,,,2024-08-21
30,74,Zn,94,239,Pu,0,0.0000059353,0.00000090278,0.000014472,0.0000021959,,,2024-08-21
30,75,Zn,94,239,Pu,0,0.0000097828,0.000001695,0.000022548,0.0000036967,,,2024-08-21
30,76,Zn,94,239,Pu,0,0.000013531,0.0000031277,0.000030522,0.0000062544,,,2024-08-21
30,77,Zn,94,239,Pu,0,0.0000096219,0.0000028627,0.000021591,0.0000066778,,,2024-08-21
30,78,Zn,94,239,Pu,0,0.000010914,0.000003964,0.000013929,0.0000053228,,,2024-08-21
30,79,Zn,94,239,Pu,0,0.0000031781,0.0000013696,0.0000039976,0.0000016517,,,2024-08-21
30,80,Zn,94,239,Pu,0,0.000000643,0.00000028343,0.00000077552,0.00000032816,,,2024-08-21
30,81,Zn,94,239,Pu,0,0.000000068396,0.000000029382,0.000000072683,0.000000030421,,,2024-08-21
30,82,Zn,94,239,Pu,0,0.0000000038718,0.0000000016613,0.0000000048077,0.0000000020311,,,2024-08-21
30,83,Zn,94,239,Pu,0,0.000000000093822,0.000000000034588,0.00000000011747,0.00000000004356,,,2024-08-21
